Estimated pre-scale: 100.725
Final pre-scale: 101
Setting duty cycle: 200
Setting duty cycle: 205
Setting duty cycle: 210
Setting duty cycle: 215
Setting duty cycle: 220
Setting duty cycle: 225
Setting duty cycle: 230
Setting duty cycle: 235
Setting duty cycle: 240
Setting duty cycle: 245
Setting duty cycle: 250
Setting duty cycle: 255
Setting duty cycle: 260
Setting duty cycle: 265
Setting duty cycle: 270
Setting duty cycle: 275
Setting duty cycle: 280
Setting duty cycle: 285
Setting duty cycle: 290
Setting duty cycle: 295
Setting duty cycle: 300
Setting duty cycle: 305
Setting duty cycle: 310
Setting duty cycle: 315
Setting duty cycle: 320
Setting duty cycle: 325
Setting duty cycle: 330
Setting duty cycle: 335
Setting duty cycle: 340
Setting duty cycle: 345
Setting duty cycle: 350
Setting duty cycle: 355
Setting duty cycle: 360
Setting duty cycle: 365
Setting duty cycle: 370
